Comment,Rating
We went in to register an out of state vehicle. The guy at the door went out immediately to verify the VIN and from there is was easier than I expected.,5
We went in to get a title transferred. The lady working greeted us immediately and helped us as soon as she was done with the previous customer. She was friendly and worked quickly to complete our service. All around a pleasant and effective visit.,5
"We went in to apply for our ccw license. The county employee who processed our applications was polite, kind, courteous,efficient and professional.  It was a pleasant experience.",5
"We went in on a Saturday and were out in 30 mins. We were expecting to stay for at least two hours, but they were efficient. We had interactions with four...",5
We went in and was out in about 20 minutes,5
We walked in the building at 5 on a Friday while they were closing and Gina help us with a cheery attitude. Thanks again Gina.,5
We waited about 30 minutes to be called in. The folks there are a good group! The lady at the entrance was quick and efficient. The lady that worked on our paperwork was quite friendly and yet efficient. I would highly recommend that you go to Oak Ridge for your drivers license. Couldn’t have been a better experience.,5
"We usually frequent the Kenny Rd location. After checking times around the city for “Get in Line” we decided to try this location and I’m glad we did! While the line was long inside, we didn’t wait maybe a few minutes. Both representatives that assisted me and my husband were very helpful, friendly, and professional (specific mention to Paula!) Would recommend!",5
"we use these guys for everything .  So awesome.  If you want to do anything illegal then this is not the place to go-  I love that they do stuff by the book it keeps them out of trouble and us out of trouble because the state will find it at some point.  Love QUICK STOP & Rusty.

GT AUTO SALES used them for all of our titling stuff and we do a lot. Thanks again Rusty you are the best.",5
We trying talked to live person but phone keeps cutting off!,1
We took our daughter to get her learners permit. We arrived at 8:45 and did not have to wait too long. The total process took around an hour.,4
"We stopped in to finalize our marriage license for our upcoming wedding day- we were able to start the process online, which was very fast and convenient!...",5
"We showed up about 1/2 hr before opening, and that was the only wait we had! They are so efficient!! Brenda R. helped us with multiple things we needed and we were shocked at how much got done in such quick time.  Everyone was friendly and there wasn't a single staff member that wasn't on the ball and working with speed and politeness.  Coming from experience in other states, this was by far the best DMV experience we've ever had.",5
"We scheduled an appointment online, and were in and out within 20 minutes for license renewal. The employees  were professional , courteous and helpful!",5
"We renew my wife's driving licence, it was really fast and the costumer services was excellent and very attentive.",5
"We recently relocated to CO Springs and chose this location to register/plate our SUV.  The staff is incredibly friendly and helpful, which is in stark...",5
"We recently moved to Utah and I have been trying to get a new license.
Their system requires you to make an appointment online. However, the next available...",1
We recently moved here from Iowa and were having trouble finding anywhere we could get in  to get our MN driver's license. We kept getting misinformation and could not get through to an actual person. I finally called the Richfield DMV and Melanie was wonderful. She helped us get an appt scheduled! Thank you so much for your help!,5
"We recently bought a used car in Nashville and had trouble getting it to pass an emissions test.

The people working here have been super friendly over the...",5
"We received excellent service at Alpine Licensing when we came to receive a new car title for my 90 year old mother-in-law.  Alison was very kind, very patient and very helpful to make sure all of the necessary paperwork was completed correctly the first time so that we could get the entire transaction done with one visit.  Alison went above and beyond and we appreciate it very much.",5
"We read the previous review and were lucky enough to be assisted by Claudia during our vehicle registration process. She was very helpful, patient, and...",5
"We purchased tabs back in September and they never showed. I've made multiple attempts to contact them via the phone...which is screwed up - a message comes on saying their phone is working, re-enter the number without an area code, and then your call is dropped. The information on how to make that simple request is not available online --- or if it is, you would need a PHD in forensic science to find it.  I'm appalled that this is an example of our tax dollars in action.",1
"We purchased tabs back in September and they never showed. I've made multiple attempts to contact them via the phone...which is screwed up - a message comes on saying their phone is working, re-enter the number without an area code, and then your call is dropped. The information on how to make that simple request is not available online --- or if it is, you would need a PHD in forensic science to find it.  I'm appalled that this is an example of our tax dollars in action.",1
"We purchased a new RV in Colorado. Due to the pandemic we did not receive the title from Colorado until several days after the 30 days NM requires. I went in the next day upon receipt. The person assisting me at MVD Express proceeded to tack on late charges without even pointing this out to me? She completed the entire transaction, THEN and only THEN was I given an itemized statement to see the charges. I explained I could not bring in a title I did not have? I asked my late fee be removed. They simply stated they would reverse the entire transaction, not refund the late fee. I will now take it up with the state of NM. The State is also behind, we got a new truck, made application with the state of NM with the dealership, registration and plate did not come for 7 weeks! So MVD Express knows the state is behind, yet tacks on the late fee?",1
"We purchased a boat out of state in April and it is now July and we still DO NOT have our CF numbers so are unable to use our boat. We have called several times and are told that they will check the status and get back to us. That never happens. I would have never done an out of state purchase had I known 50 State was involved. This has been the worst experience ever!!!! The website lists that they will follow up, communicate, etc. These are all lies. I definitely would not recommend this company to anyone!!! HORRIBLE",1
We pulled up at about 1:30 pm and we were done just before 2:30! They were on #64 when we arrived and our # was 74 (a kind guy gave us his number as he...,3
"We popped in here so my daughter could update her license to conform to the new REAL ID mandate. Surprisingly the wait was not long, the clerk that saw us...",4
"We pay so much for our right to drive. We got butt kicked with renewal fees jumping, taxes on trade-ins, and how about someone at the state level check out...",1
We ordered and paid for our 3 tab renewals online. We were supposed to be able to skip the line and just pick them up. Two times we tried but were told we...,1
"We ordered and paid for our 3 tab renewals online. We were supposed to be able to skip the line and just pick them up. Two times we tried but were told we had to get in line as they could only have a limited number of people served by the three employees. This is really unacceptable as the lines were 10 people long and the temperature was 106’ one time and 97’ the other.
I tried to call  to request they mail the tabs but they don’t answer the phone.
Not sure how to get our tabs but I’ll never go through them again.",1
"We moved to Utah from California a couple of years ago. In CA, the DMV is horrendous. It is so very crowded, no one smiles, service is practically...",5
"We made the appointment online, to make the ID of my young daughter, they gave us an hour and at that time we entered, there was a girl attending before entering, the duration was 45 minutes inside and the attention was very good.  Not at all the experience of last year.  I congratulate you for improving.",4
"We made an appointment online, checked in … and now we’ve been waiting an hour. Seems to be more MVD than express. Last time I went to the real MVD it was quicker. This is ridiculous. Now people keep walking in and they’re still taking them before us. We finally get up to the window and she says she didn’t know we had an appointment. Then we wait even longer because there’s another guy they put in front of us. Terrible customer service. I only stayed because I was getting my son’s license otherwise I would have left.",1
"We made an appointment online, checked in … and now we’ve been waiting an hour. Seems to be more MVD than express. Last time I went to the real MVD it was quicker. This is ridiculous. Now people keep walking in and they’re still taking them before us. We finally get up to the window and she says she didn’t know we had an appointment. Then we wait even longer because there’s another guy they put in front of us. Terrible customer service. I only stayed because I was getting my son’s license otherwise I would have left.",1
We made an appointment 2 months ago to get a real ID. We had everything we needed and more. NO WHERE does it say that we must have TWO utility bills to get...,1
"We loved everything about the MVD Now.  The place was clean, the staff was professional and the team members handled Covid-19 safety precautions very well.  The process was fast, efficient and friendly.  Well done to MVD Now for employing remarkable staff members.  Excellent customer service!  Highly recommend MVD Now and will return here for any future needs.",5
"We lived in Harrison county last year. The staff at the Harrison county office was rude!!! I was not looking forward to getting my tag this year....however after getting my tag today at the Hancock county office, I am so glad we moved! The lady at the Hancock county tag office was friendly, fast and efficient!!! A total 180 from the Harrison county office! Thank you!",5
"We live in Lakeland, TN on Clubview Cove S.  Recently, a TDOT truck has begun to park in the cove across from our home.  The truck is a  Ford F150 - license plate # S4-WV72.  Week of 3/22-26 on one day the truck was at the location most of the day.  3/29 parked mid afternoon for the remainder of the day.  3/30 truck showed up at about 3:00pm.  With this vehicle included there can be as many as 5 vehicles parked at the home (Lakeland TN) - 2 in the driveway and 3 on the street. There is no TDOT work going on in our immediate location.  Your follow up to determine why this TDOT vehicle is parking in the cove for extended periods of time will be appreciated.  Pictures of the truck are attached. May 16,  It has been four weeks since I posted this.  I would appreciate a response .  The TDOT truck continues to be parked in the cove. It would seem reasonable that state vehicles would be parked at. TDOT sight on the weekends and holidays  rather than on a public street.",1
"We just went today for registration and change of address. They were very attentive to our needs. They were very helpful through every step of the way.
I appreciated having a place to go do quickly instead of sitting at the DMV for hours. Wonderful service, kind employees and the wait wasn't long.
Thank You Notary Shoppe!
Cathy and Charlie",5
We just moved from MA to NH so we had to go many times to get everything done.  The people are super and although it may not be the happiest place they do...,4
"We haven’t been since we last had our licenses renewed a couple years ago, but this tag agency is great. Super friendly and helpful.",5
We have used them for years! Absolutely love all the lady's in the office and I've never had a long wait! Great Service!,5
"We have moved a few times and this was the absolutely worst experience we've had.  The line was long, the process slow and the clerk had a real attitude.",1
We have had to visit this location during the pandemic as DMV appointments are hard to come by. We've got our Real ID here and did a driver's test (behind...,5
"We have been using this department of licensing for months now as we assist people experiencing homelessness with obtaining their licenses. So far we've used this office to obtain licenses or IDs for 60 people so I'd say I have a pretty good idea of the general experience one should expect to have here.

Overall the service that we receive here is excellent, bordering on exceptional, at least for government standards. Every clerk that we have spoken to wants to help genuinely and is not miserable to deal with. There is one lady up at the front that asks people if they have an appointment or not that is particularly troublesome. Aside from that we have enjoyed working with this DOL branch and very much appreciate their assistance.",4
"We have been using this department of licensing for months now as we assist people experiencing homelessness with obtaining their licenses. So far we've used this office to obtain licenses or IDs for 60 people so I'd say I have a pretty good idea of the general experience one should expect to have here.

Overall the service that we receive here is excellent, bordering on exceptional, at least for government standards. Every clerk that we have spoken to wants to help genuinely and is not miserable to deal with. There is one lady up at the front that asks people if they have an appointment or not that is particularly troublesome. Aside from that we have enjoyed working with this DOL branch and very much appreciate their assistance.",4
"We have been using them for the past 20 years. Liens, registrations, and all other DMV services have been no problem with them. They are run by a nice family and it seems that they are well known with the State of Nevada. If they cant help you then i think no one can. I highly recommend them. Use them, you will not be disappointed.",5
"We have been using them for the past 20 years. Liens, registrations, and all other DMV services have been no problem with them. They are run by a nice family and it seems that they are well known with the State of Nevada. If they cant help you then i think no one can. I highly recommend them. Use them, you will not be disappointed.",5
"We have been coming here since the day they opened and unfortunately on our last trip to renew our vehicle the service we received was quite rude. The 2 tech's were looking at our dash board with a flashlight for sometime. My husband walked up to one of them and said what are you guys doing and he said were looking for something.  Then he asked the second guy what they were doing and he wouldn't say a thing and just walked right past him. After our vehicle didn't pass smog because a check engine light was not lighting up they said they couldn't find one so knowingly failed our car and charged us the $21.95. I get having to pay for a car that didn't pass but when you're looking at our car and we ask a question it's only the right thing to do, is answer us.",1
We have always had good experiences at this tag agency. The owner is great and so are the staff. We appreciate that they are allowing walk ins currently and doing their best to provide great customer service during these difficult covid times. They helped us work through the process of getting a real ID and changing our address.,5
"We have a total of nine vehicles that we tag annually... Of the nine, seven of them also have some sort of specialty plates so that means I have some sixteen transactions in a normal year at this tag agency... Add to those new vehicle purchases and other matters and one could say I'm a regular customer...

I have not once in the past 13 years using the Goldsby Tag Agency had or witnessed anything less than outstanding customer service there... Heading in this afternoon to pick up six annual renewals that I dropped with them late Saturday morning...

They also took care of my wife's real ID on relatively short notice when her regular license was nearing its expiration several months ago... As long as I live anywhere near the Goldsby Tag Agency they will have my business... No online renewals, no other tag agencies, nothing, nada!!!",5
We had to register and tag  a pick up and a 5th wheel that we had just bought and MVD Now made the experience quick and easy! Shannon was extremely efficient and friendly and we plan on going there for all our business.,5
"We had to get plates for our new car. Yes, there was a wait. Yes there were close to 50 people waiting inside and out. We signed in on line, had lunch while waiting, and our experience with Tish was amazing. She was nice, very competent, and a pleasure to deal with on a Friday. Don't expect an in and out experience. They are busy, and understaffed,  but they do their best, and they do it with a smile on their face. Thank you Tish and Christi for your help, and kind attitude! You are appreciated!",5
We had to get our license transferred from California. Had a few challenges because website didn't explain that you have to register car first at one place...,4
"We had been driving around looking for a place to renew our license. This was the only place that even tried to help. And they were so nice about. Great place, nicest ladies. 😊👍🏽",5
We had a wonderful experience. Everyone was so friendly. We showed up around 8:15 AM to transfer a drivers license from California to South Dakota and it...,5
We had a wonderful experience in spite of big line of people. Staff was very professional as well as warm hearted. They helped us with obtaining first time SD license in optimal time and least stress.,5
We had a very nice and extremely helpful lady help us thru the process of getting a new title!😁,5
"We had a surprisingly pleasant visit to this location today. Both the employees we interacted with were friendly, helpful and went above and beyond to make our visit a good one. And this was late in the afternoon on a Friday! Kudos to you all for exceeding expectations!",5
We had a positive experience  although there was a long line at 7am they open at 8am once they opened it moved swiftly  my son was a walk in  for drivers...,5
We had a nice experience here - the woman who helped us was friendly and knowledgeable. I also called twice during the day to make sure we had what we needed and she was very patient. We will definitely use their services in the future if we need them!,5
"We had a horrible experience trying to get passports at the Post Office. On the way to the Post Office, I heard an ad on the radio stating that the Auto Title office was doing passports. So after failing at the Post Office, we went straight to the Auto Title on Heatherdowns.

It turned out we were the first passports they had done since the pandemic hit. It was the first day they were doing them again. Everything went perfectly. They were very through and professional. She had no trouble remembering everything even after not doing any for a year. She even had her Supervisor look over the applications to make sure everything was correct.

Thank you!",5
"We had a great experience. We were moving from out of state and had several vehicle titles to register. The gentleman helping us was very efficient and thorough. We very much appreciated his level of service.
Yes, you should expect to wait in line. Remember that the people working are required to follow specific guidelines given to them by the State. I witnessed a number of other employees being kind and helpful to those they were serving even when there were issues. Great Job!",5
"We had a great experience, having a number and knowing you didn't have to wait was very cool but what was better was the amazing service we received from the team there. We had even wanted to do something about renewing and moving a vanity plate from one of our cars to another. And thought we'd probably be directed to the
website to fill out a bunch of forms. Instead we were told yeah I can help you with that today and so we did that as well as upgraded our driver's licenses to real ID.

I'm still smiling about it",5
We had a great experience at this DPS office two days in a row! Jennye was especially helpful and kind. Thank you to all of the folks who helped us!,5
We had a GREAT experience at the MVD in Bozeman. After we moved we didn't realize how busy they were and we wouldn't have met the 60-day deadline to get our...,5
We had a great experience at Millington center today. Everyone was so friendly and knowledgeable. Our rep named Parker went above and beyond to answer to all of our questions and made the process go smooth. Same goes to every single one of the employees of this wonderful center. Considering the amount of people they had to work with they were very fast and efficient. Thank you for all your hard work. Grateful parent.,5
"We had a blow out on our trailer near Nashville.  We called for roadside service with our insurance but before they could find someone to come, Terry Pebbles (Peoples) from the TN DOT showed up.   We were sure glad to see him.  The first thing he did for us was give us bottles of cold water.  He immediately went to work on changing the tire.  He, also, showed my husband that the other tires were very worn and would likely not hold up until we reached our destination.  He was very nice and is a great representative of the state of TN.  Thank you Terry so much for your help.",5
"We got our REAL ID processed there. The person who did it was kind, efficient and very patient. She could process each person in about 8 minutes. We were grateful for the prompt and courteous service.",5
"We got in and out rather quickly. Staff was surprisingly nice and helpful. The office is very small for the capacity in Clarksville, however, on the day we...",5
"We got at the Dixie Highway location at 8:20, folks were around the building. They opened at 8:30. They took 10 people at a time and I was there for a title transfer. Yvette waited on us. She was polite and prompt. We were done at 9:05. Very quick.",5
"We got a new woman as our teller so unfortunately didn’t know very well processes and she required help ever step of the way. She sadly printed a title with our old address after providing mortgage, bank, insurance statements and application with our new address. Now on the plus side, clean bathroom, quick service for those with quick problems, a relatively empty seating area and no problems with parking.",3
"We got a new woman as our teller so unfortunately didn’t know very well processes and she required help ever step of the way. She sadly printed a title with our old address after providing mortgage, bank, insurance statements and application with our new address. Now on the plus side, clean bathroom, quick service for those with quick problems, a relatively empty seating area and no problems with parking.",3
"We got a new woman as our teller so unfortunately didn’t know very well processes and she required help ever step of the way. She sadly printed a title with our old address after providing mortgage, bank, insurance statements and application with our new address. Now on the plus side, clean bathroom, quick service for those with quick problems, a relatively empty seating area and no problems with parking.",3
we get the plates  here. great staff to deal with thank you guys  check us out on youtube mrsmel269,5
"We first used this service for our Chevy Malibu, they were very professional and attentive. While I was out of town, someone hit my wife and totaled the car. I was so distraught but finally found another car and took it here to get registered. Not only did they transfer the plates but they were fast! You truly can’t go wrong with this place! They take care of business!",5
We finally figured out how to make the 8am and 12pm appointment windows work and got a time scheduled the next day (that part was a little...,5
"We filed for an IRP/IFTA application via email, because that’s the only way you can do it since September last year and I am still waiting for them to process it.",1
We drove 45 min from St Martin area in Jackson county. We are only 10 min from DMV on Hwy 67..that particular site leaves a lot to be desired! Called the kiln office yesterday...spoke to a real person! She handled the call efficiently and pleasantly! Was in and out of their place today in less than 15 minutes! Kudos to Regina and Cassandra!👍,5
"We came here today for my wife's road test. Very well organized.  The frontline officer managing the queue and front desk officer were so kind polite. Post document verification she was asked to wait for the road test. When my wife's turn came it was almost 1:00 PM. Despite of conducting several road tests since morning, the young lady officer delayed her lunch called my wife for the test. She was friendly and helpful. Respect to her sincerity and commitment towards her work. The entire office deserves more than 5 stars",5
"We came here today for my wife's road test. Very well organized.  The frontline officer managing the queue and front desk officer were so kind polite. Post document verification she was asked to wait for the road test. When my wife's turn came it was almost 1:00 PM. Despite of conducting several road tests since morning, the young lady officer delayed her lunch called my wife for the test. She was friendly and helpful. Respect to her sincerity and commitment towards her work. The entire office deserves more than 5 stars",5
We came for a scheduled driving exam around 9:30am on a weekday but there was very little wait time for anyone who was a walk-in taking a number. The...,5
We broke down on the side of Hwy 22 and Chad Bishop F11 with Mississippi highway safety patrol came to help after we called because we were nervous about being broken down so close to the highway with 5 kids in the car. He got to us very quickly and had a wrecker come help and then followed us to the gas station to make sure we were good. He was very friendly and helpful and entertained the kids while we waited. We are so grateful for Mr. Bishop and his professionalism and kindness.,5
"We asked on the phone what we would need to get our permit and the young lady up front said all we need is just our tip card.  That was a lie you need your birth certificate, tip card, and security number.  Drove 45 minutes for a waste of time.  Never going over there again.",1
We arrived at dmv @ 9:30am to take care of a mistake they made on my paper work 2 weeks ago. Spoke with lady and they got paper work corrected. Then I received a number and I waited 3 1/2 hours before I was called up to one of three windows that were open. I counted the number of people waiting there was at the most 27 people waiting in lobby. There was no people coming in they had 4 people sitting at information desk. They need to use their employees more efficiently. They are very very nonprofessional !!,1
"We are transferring in from Illinois, made an appointment, wait time was less than 5 minutes. Joseph was very kind and patient. He was very informative as well. We (my mom is wheelchair bound) felt very welcomed and comfortable. Best experience we both have ever had.",5
"We are still in a pandemic and there’s no way to social distance at this  location. They don’t have chairs to sit in and I saw a young lady on crutches standing against the wall waiting. No one wiped the counters or pens with disinfectant wipes. The staff is protected behind plexiglass but what about the customers?
Even though the staff was friendly I won’t be back until this pandemic ends.",2
"we are from Nepal beautiful place  Wisconsin ,",4
"We are all entitled to our own opinions, right? Well here's mine:

Parking: 5
Location: 5
Decor/ambiance: 3
Customer Service: 5

Its the DMV... honestly...",5
We appreciate the magnitude of their job.  Friendly phone staff who make sure that instructions are clear.  Great drivers who give their hearts to the riders.,4
"We always get what we need, but the staff is of inadequate size, overworked, and often rude. Sometimes a simple thing that takes 15 minutes turns into an hour or two hour ordeal- mostly in waiting- even with an appointment.",3
We always get great service here!,5
"We all know that no one likes to go to the DMV, but I had a decent experience at this branch. Shocking, I know. 

The purpose of my visit was to get a READ...",4
"We all know that DMV's are usually a long wait.
Yes it was a long wait but the service was very good and very attentive when I did get seen.
Please save your self from the agony and don't call. Did that and literally let the phone ring from the time I left my house till I was seen. Approximately 1hr lol . Just get up and go there the employees are friendly and helpful ... when your number is finally called.",5
"Way faster than the DMV, and a speedy drive-thru as well. I've been going here for years and they've been awesome every time. The parking lot is so-so but...",5
Way better then the early 2000,5
Way better than the location on Grand and Glenstone. I waited ten minutes maybe to get my name changed. People were nice too and helpful. I recommend this location. Thank you,5
"Way better service than going to 28th Street.  I didn't wait ten minutes and I'd come prepared with my Kindle just in case.  I wasn't at the counter five good minutes and I was done/gone.  The kicker was that people actually smiled, we're polite/professional and made honest to God eye contact!!  Definitely going here from now on, it's worth it to pay for parking just to actually meet state workers who provide a good service in a professional manner.",5
Watching a succession of 70's go by is heartbreaking when you need a 70A to go to N. Waltham.  Supposedly they have two buses making the run but sometimes...,2
"WATCH OUT!!!!!
I tried to renew my drivers license online through the DMV website.  The DMV online site routed me to a third party site called...",1
"Wasn't too bad of a wait... though it seemed like all the attendants went on break at the same time; thus slowing the process.
The security guard was...",4
Wasnt to bad. Took about 40 minutes. But I also got there before they opened! And they was nice. Lol,4
Wasnt long wait got in and out in less than 45mins,5
Wasn't crowded and quickly in and out with my appointment,5
Wasn't crowded,5
"Was worried about how things would go with opening after the stay at home order, with so many people needing tags, titles and drivers licenses.  Have to say...",5
Was very quick in and out....they are doing a great job with this whole covid situation,5
Was very pleased that it was so fast since I had an appointment.  People were courteous and speedy.,4
"Was very impressed with the new system in place to get serviced. As long as you have an appointment, it's like in and out 15 minutes top!!!",5
Was very fast ...in and out with no problems....staff where very nice,4
Was very busy which they are friendly and helpful why gone there over other license offices around,5
"Was told it was an hour long wait which is fine. Would've been at least two had I stayed, which is fine I don't mind waiting but people who were there before me were being served. Lady in charge of putting names in didn't seem to know what she was doing and couldn't answer a simple question about an accurate ETA of when I would be helped. They should move renewals and name changes online so they would have time for all the driving tests put ahead of those who had been waiting patently. Had to leave as I would have been late to work after wasting my time for a service I didn't receive. If you are on a time crunch, don't plan on coming here and getting what you need done. You'll never make it in time. In fact, better clear up a whole day to be able to get what you need done here.",1
Was there today to renew my license and upgrade to real id. Expected to wait much longer than I did. Did the virtual check list online to make sure I had...,5
"Was there on a Tuesday, and was very fast. Not a fan of the appointment only but was able to squeeze in one and had very patient staff and know how to work with you. Very fast and had my ID same day.",4
Was surprised how quickly I went through.,5
Was searching high and low for a tag and title spot. Went to EMPIRE TAG AND TITLE and the customer service was simply amazing. Very friendly environment. Fast service in and out in no time at all.,5
Was quick and easy to get what I needed! Staff was super kind and helped me with all the forms!,5
Was quick and easy to get what I needed! Staff was super kind and helped me with all the forms!,5
Was quick and easy,4
Was pretty quick. Taken care of despite no promises of them taking more people at the time. Very orderly. Some of the workers were rude or snappy with their sarcastic comments. Can't blame them since you lose your soul to work at the DMV but efficient and quick. 10/10 would renew my ID.,5
Was pretty quick. Taken care of despite no promises of them taking more people at the time. Very orderly. Some of the workers were rude or snappy with their sarcastic comments. Can't blame them since you lose your soul to work at the DMV but efficient and quick. 10/10 would renew my ID.,5
Was pretty quick. Taken care of despite no promises of them taking more people at the time. Very orderly. Some of the workers were rude or snappy with their sarcastic comments. Can't blame them since you lose your soul to work at the DMV but efficient and quick. 10/10 would renew my ID.,5
Was pretty much as one would expect for a dmv. Nice and new looking though!,5
Was paying my taxes,4
Was out of therebin 7 minutes,5
"Was on the phone with Ed after enrolling my daughter in virtual drivers education classes, when he stated “We will not be speaking to your student.” before hanging up the phone. This business is unprofessional and should NOT be up and running.",1
"Was on my way home from work traveling west bound on Hwy 90 in a pack of about 4 or 5 cars , I was in a 55 mph zone with my cruise control on 60.  As I am traveling a motorcycle comes speeding by while swerving through traffic, and at that exact time the State Trooper is passing on the east bound side of the highway.  The Trooper then proceeds to make a U turn and get behind the pack of traffic.  I think good, he's going to pull over this speeding, reckless,  a hole on the motorcycle.   Nope, he then proceeds to swerve around the car behind me and pull me over and tells me he clocked me at 78 mph.  I explain to him that I had my cruise control set at 60 and traveling with a pack of cars and he must have clocked the jackass on the motorcycle.   He says , ""I clocked someone at 78 and I didn't see the motorcycle.""  I say, ""so you clock someone going 78 mph and you just decide to pull over me while I'm traveling the same speed as all the other cars in the pack.""  He says, "" Like I said I didn't see him, I saw you. ""  I respect all Law Enforcement, but pea brains like this are who give Cops a bad name.",1
"Was on my way home from work traveling west bound on Hwy 90 in a pack of about 4 or 5 cars , I was in a 55 mph zone with my cruise control on 60.  As I am traveling a motorcycle comes speeding by while swerving through traffic, and at that exact time the State Trooper is passing on the east bound side of the highway.  The Trooper then proceeds to make a U turn and get behind the pack of traffic.  I think good, he's going to pull over this speeding, reckless,  a hole on the motorcycle.   Nope, he then proceeds to swerve around the car behind me and pull me over and tells me he clocked me at 78 mph.  I explain to him that I had my cruise control set at 60 and traveling with a pack of cars and he must have clocked the jackass on the motorcycle.   He says , ""I clocked someone at 78 and I didn't see the motorcycle.""  I say, ""so you clock someone going 78 mph and you just decide to pull over me while I'm traveling the same speed as all the other cars in the pack.""  He says, "" Like I said I didn't see him, I saw you. ""  I respect all Law Enforcement, but pea brains like this are who give Cops a bad name.",1
"Was on Hold for more than 30 min with no answer, called 5 times this week. Horrible customer service, now I have to drive over an hour and a half to them...",1
"Was on hold for 45 minutes, just to be told that you have to come into the BMV to get a replacement sticker (tag). Doesn’t say anything on their website that states that you HAVE to come into the building to get a replacement tag. It states that you can make changes by calling. What needs to be states is what you CAN do by phone and what you HAVE TO do in the building.",2
Was no help at all,1
Was much quicker with a appointment. Staff was helpful and friendly.,4
Was much quicker with a appointment. Staff was helpful and friendly.,4
"Was literally in and out in ten minutes for a license renewal on a Wednesday around noon. 

Very helpful service. No take a number format. Wasn't overly...",5
"Was just a little upset because I did my tabs online and had them mailed to me, they didn’t show up after 3 weeks. So I went into this location (location I chose to mail to me) and was told they mailed them to my old address, even though I had my updated address on file. I even showed them a confirmation and DOL website that shows my current address (I did 2 years ago). I also had my last years tabs sent to my current address.They said I still had to pay an additional $13.75 for lost tabs, even though it wasn’t my fault (system glitch). Would of been better for them to cover the $13.75 and I would of been a happy customer. $13.75 isn’t a big deal, it is just the part that it was their fault and chose not to cover the cost.",1
Was in and out of there within 15 minutes...and that included a call to Springfield!  Very friendly and efficient employees. I will recommend this facility to all my friends.,5
"Was in and out in 7 minutes, the staff is so friendly and helpful. This location is so much faster and more convenient than the one on 2nd Ave!",5
Was in and out in 10-15 min and honestly was the fastest time I've been able to get in and out at the DMV!,5
Was in & out rather fast. Got our shuttle bus converted to an RV was quick easy & mostly painless,5
Was in & out rather fast. Got our shuttle bus converted to an RV was quick easy & mostly painless,5
"Was here and computers are down. Been waiting for 3 hours. They are giving ""fast passes"" for those who have appointments. Not for fools just thinking walk ins are ok. Per lady behind counter said they are just being polite for walk-ins.  I think that walk- INS are paying her to sit while computers are down. Sad sad place",1
"Was helped in an extremely kind, efficient manor by the good people here.  Never had such a pleasant experience at the DMV!  It's a little out of my way,...",5
Was having such a hard time with mvd due to  COVID-19 I went in person due to not receiving any help calling the mvd number and employee Regina was so helpful,5
Was greeted less than a second after pulling into the lot. Very quick service from Joe and Tim. Will come here again!,5
Was great.  For once I had all of the right paperwork.  The workers that helped me were so nice and they were extremely knowledgeable on what I needed. Great job girls.,4
Was great I was in and out and the person that helped me was great too it's good to see that they helping the disabled people with a job,5
Was expecting it to be a drag but every employee was incredibly fun and helpful!,5
Was expecting it to be a drag but every employee was incredibly fun and helpful!,5
"Was dreading coming here to change my license because I didn't want to deal with disgruntled employees, long wait times and a dirty facility. 
Luckily, I...",4
Was directed from another office to this location to complete my permit application. The wait time was pretty acceptable with over 20 staff waiting to assist the customers. The staff who assisted me with the process was very professional and friendly.,5
Was directed from another office to this location to complete my permit application. The wait time was pretty acceptable with over 20 staff waiting to assist the customers. The staff who assisted me with the process was very professional and friendly.,5
Was denied a title transfer within 40 seconds of walking in due to an address being crossed out. Went somewhere else and they were very courteous and processed it with no problems. I found the experience unprofessional.,1
"Was clean, staff was condecending and they sort of made me feel like I was being slow. But otherwise they were overall friendly and I got my permit pretty quickly.",4
"Was busy today,but glad its done by appointment s",5
Was busy but they moved pretty quickly.,5
Was always helpful and helped with issues and corrected the computers up and running when th e. Laws or help for lapse of pay got alittle scarey for a minute,5
Was actually quick and had friendly people. Much better than the Moorhead dmv,4
Was actually quick and had friendly people. Much better than the Moorhead dmv,4
Was actually not to bad at lunch time. Had 3 tellers open.,5
"Was actually being helped for a change today and another worker stops the one helping me and tells me I will have to do all the research on my own and they can’t help any further. Thank you to the one helping me, but it’s a shame there’s such poor service on the taxpayers dollar",1
"Was able to walk-in without an appointment. There was about an hour wait, which I'd expected. Just an FYI, even if you're just updating info on your license, they will not reuse the photo on your current license even if it was taken a few months earlier, they take a new photo every time...be prepared for that.",4
Was able to walk in at the end of the day (4:30) and received exceptional service from Veronica S. Washington dealership where we purchased our vehicle failed to complete paperwork correctly. Veronica corrected it and gave us our tags. Entire transaction took about 20 minutes after waiting for mail processing 14 long pandemic weeks.  Thank you Veronica!,5
Was able to walk in at the end of the day (4:30) and received exceptional service from Veronica S. Washington dealership where we purchased our vehicle failed to complete paperwork correctly. Veronica corrected it and gave us our tags. Entire transaction took about 20 minutes after waiting for mail processing 14 long pandemic weeks.  Thank you Veronica!,5
Was able to walk in at the end of the day (4:30) and received exceptional service from Veronica S. Washington dealership where we purchased our vehicle failed to complete paperwork correctly. Veronica corrected it and gave us our tags. Entire transaction took about 20 minutes after waiting for mail processing 14 long pandemic weeks.  Thank you Veronica!,5
Was able to sit inside and wait so yay. They are professional and polite. Had to buy a new plate since someone stole mine. It was only 11.5 not bad.,4
